TAHUN,PROVINSI,KOTA/KABUPATEN,PERSENTASE BALITA GIZI KURANG (BB/TB: < -2 S.D. -3 SD),PERSENTASE BALITA DITIMBANG (D/S) (L+P),PERSENTASE BALITA BERAT BADAN KURANG(BB/U) ATAU UNDERWEIGHT,PERSENTASE BALITA PENDEK (TB/U) ATAU STUNTING,PERSENTASE BALITA BATUK ATAU KESUKARAN BERNAFAS DIBERIKAN TATALAKSANA STANDAR,PENYEBAB KEMATIAN BALITA (12-59 BULAN)-PNEUMONIA,PENYEBAB KEMATIAN BALITA (12-59 BULAN)-DIARE,PERSENTASE KUNJUNGAN NEONATAL 1 KALI (KN1) (L+P),PERSENTASE KUNJUNGAN NEONATAL 3 KALI (KN1) (L+P),PERSENTASE - BAYI DIIMUNISASI HB0 < 24 JAM (L + P),PERSENTASE - BAYI DIIMUNISASI HB0 1-7 HARI (L),PERSENTASE - BAYI DIIMUNISASI LENGKAP (L + P),PERSENTASE PESERTA KB KONDOM,PERSENTASE PESERTA KB SUNTIK,PERSENTASE PESERTA KB PIL,PERSENTASE PESERTA KB IMPLAN,PERSENTASE PESERTA KB,PERSENTASE IBU BERSALIN/ NIFAS KF1,PERSENTASE IBU HAMIL K1,PERSENTASE IBU HAMIL K4,PERSENTASE IBU HAMIL Td1,PERSENTASE IBU HAMIL Td2,PERSENTASE IBU HAMIL Td3,PERSENTASE WUS (15-39 TAHUN) Td1,PERSENTASE WUS (15-39 TAHUN) Td2,PERSENTASE WUS (15-39 TAHUN) Td3,PERSENTASE WUS (15-39 TAHUN) Td4,PERSENTASE PERSALINAN DI FASYANKES,BOR (%),PERSENTASE PELAYANAN KESEHATAN BAYI (L+P),PERSENTASE - SISWA KELAS 1 SD/MI MENDAPAT PELAYANAN KESEHATAN,PERSENTASE - SISWA KELAS 7 SMP/MTS MENDAPAT PELAYANAN KESEHATAN,PERSENTASE - SISWA KELAS 10 SMA/MA MENDAPAT PELAYANAN KESEHATAN,PERSENTASE - PELAYANAN KESEHATAN PADA USIA PENDIDIKAN DASAR,PERSENTASE BUMIL DENGAN KOMPLIKASI KEBIDANAN DITANGANI ,PERSENTASE  BAYI (6-11 BULAN)  MENDAPAT VIT A,PERSENTASE ANAK BALITA (12-59 BULAN)  MENDAPAT VIT A,PERSENTASE BALITA (6-59 BULAN) MENDAPAT VIT A,PERSENTASE IBU NIFAS MENDAPAT VIT A,PERSENTASE - PUSKESMAS MEMILIKI 80% OBAT DAN VAKSIN ESENSIAL,PERSENTASE - POSYANDU AKTIF,PUSKESMAS MELAKSANAKAN KEGIATAN KESEHATAN REMAJA,PERSENTASE RUMAH SAKIT TERAKREDITASI,PERSENTASE PENDERITA HIPERTENSI MENDAPAT PELAYANAN KESEHATAN (L+P),PERSENTASE PENDERITA DM YANG MENDAPATKAN PELAYANAN KESEHATAN SESUAI STANDAR,PERSENTASE PEMERIKSAAN IVA,PERSENTASE IVA POSITIF,PERSENTASE CURIGA KANKER LEHER RAHIM,PERSENTASE TUMOR/ BENJOLAN,PERSENTASE  ODGJ BERAT MENDAPAT PELAYANAN KESEHATAN,PERSENTASE KASUS DIRUJUK (GIGI),PERSENTASE ANGKA KEBERHASILAN PENGOBATAN (SUCCESS RATE/SR) SEMUA KASUS TUBERKULOSIS (L+P),PERSENTASE SEMUA KASUS TBC (L),PERSENTASE SEMUA KASUS TBC (P),PERSENTASE  KEMATIAN SELAMA PENGOBATAN TUBERKULOSIS,PERSENTASE ANGKA KESEMBUHAN (CURE RATE) TBC PARU TERKONFIRMASI BAKTERIOLOGIS (L),PERSENTASE PENEMUAN KASUS DIARE SEMUA UMUR DILAYANI ,PERSENTASE KASUS BARU PENDERITA KUSTA CACAT TINGKAT 0,PERSENTASE KASUS BARU PENDERITA KUSTA CACAT TINGKAT 2,PERSENTASE TOTAL PENEMUAN PNEUMONIA (L+P),PERSENTASE SARANA AIR MINUM YANG DIAWASI/ DIPERIKSA KUALITAS AIR MINUMNYA SESUAI STANDAR (AMAN),PERSENTASE DEPOT AIR MINUM LAIK HSP,PERSENTASE KK DENGAN AKSES TERHADAP FASILITAS SANITASI YANG LAYAK.1,PERSENTASE  TPM MEMENUHI SYARAT KESEHATAN,PERSENTASE DESA/KELURAHAN STOP BABS (SBS)
2020-01-01,KALIMANTAN BARAT,KAB. KAYONG UTARA,8.7,37.3,15.8,26.1,0.0,0.0,0.0,81.5,70.1,0.0,87.7,54.5,1.0,66.6,22.1,1.6,91.4,79.4,94.4,73.1,8.4,6.8,5.1,1.2,0.8,0.5,0.2,54.6,51.05,17.3,100.0,82.0,81.9,29.3,43.7,87.1,94.0,92.4,74.1,77.8,26.0,8.0,100.0,22.4,95.4,0.6,2.0,0.0,0.0,51.6,10.0,0.0,68.0,32.0,5.2,87.8,62.5,85.7,0.0,9.1,53.1,23.8,62.5,29.1,0.0
2020-01-01,KALIMANTAN BARAT,KAB. KUBU RAYA,6.6,62.4,10.3,13.4,100.0,1.0,0.0,93.1,91.3,0.0,90.8,61.5,0.8,42.9,15.7,2.5,62.7,88.9,92.7,87.1,22.2,24.5,10.5,3.1,2.9,1.7,1.2,83.6,48.2,76.6,94.4,81.15,67.85,51.5,46.7,92.1,93.6,93.3,88.9,100.0,78.5,20.0,75.0,29.8,100.0,1.0,2.0,1.7,3.2,47.4,9.5,100.0,67.6,32.4,0.4,97.8,23.3,100.0,0.0,5.2,44.7,77.4,73.2,68.7,9.2
2020-01-01,KALIMANTAN BARAT,KOTA PONTIANAK,3.5,42.1,7.1,8.7,3.9,0.0,0.0,96.8,91.7,89.6,1.0,54.5,1.5,41.1,19.0,0.5,65.0,91.1,92.7,90.1,9.0,8.7,8.7,1.0,0.8,0.8,0.5,91.9,48.1,58.0,96.2,81.2,73.8,28.8,95.6,89.3,87.8,88.1,91.1,100.0,100.0,23.0,92.31,25.4,42.3,1.5,0.3,0.3,0.5,67.1,27.1,3.9,63.6,36.4,3.1,89.7,22.8,100.0,0.0,5.4,90.6,71.7,96.8,59.4,26.7
2020-01-01,KALIMANTAN BARAT,KOTA SINGKAWANG,6.5,14.0,15.6,20.2,97.1,0.0,0.0,88.6,86.8,83.8,0.0,44.7,1.0,24.2,16.2,2.7,47.2,84.6,96.2,88.3,0.8,2.6,5.4,0.1,0.4,0.8,0.6,84.2,51.05,46.8,4.8,81.15,67.85,0.6,69.2,77.2,72.3,73.4,83.4,100.0,28.6,10.0,100.0,12.1,61.3,1.8,2.0,0.2,2.7,27.8,1.3,97.1,65.6,34.4,2.9,38.2,24.8,0.0,0.0,15.4,7.1,65.0,32.2,21.7,3.8
2021-01-01,KALIMANTAN BARAT,KAB. SAMBAS,45.0,67.0,100.0,100.0,73.2,1.0,2.0,98.3,97.1,76.2,8.2,96.3,0.9,43.4,16.6,1.3,63.3,94.1,98.2,89.6,6.9,9.8,17.0,1.5,1.7,2.9,2.1,92.7,100.0,86.5,100.0,100.0,89.4,28.2,93.4,90.9,88.8,89.2,93.7,100.0,31.6,23.0,3.0,14.9,97.1,0.2,3.1,0.0,2.3,81.1,12.4,73.2,59.8,40.2,3.1,73.9,29.9,0.0,0.0,3.4,47.06,47.0,85.1,40.6,51.8
2021-01-01,KALIMANTAN BARAT,KAB. BENGKAYANG,100.0,51.4,20.0,100.0,95.3,0.0,0.0,84.3,83.3,65.8,3.6,79.8,1.8,67.0,24.9,2.8,98.7,80.5,91.5,84.9,18.7,15.9,7.3,2.6,2.0,1.1,0.6,77.6,100.0,83.2,87.7,55.3,25.4,16.0,45.1,88.0,74.4,77.2,80.5,100.0,13.5,0.0,2.0,6.9,18.6,0.0,0.0,0.0,0.0,1.5,6.5,95.3,59.6,40.4,3.5,25.9,29.2,0.0,0.0,6.8,47.06,65.5,73.7,52.0,8.9
2021-01-01,KALIMANTAN BARAT,KAB. LANDAK,15.0,53.9,100.0,100.0,100.0,0.0,0.0,89.8,85.4,47.3,44.6,96.4,0.3,44.9,17.2,2.7,66.9,86.6,97.3,84.2,25.8,21.8,12.7,2.4,2.0,1.2,0.8,78.4,100.0,100.0,94.4,78.0,53.8,18.8,69.0,93.8,93.8,93.8,86.6,100.0,27.3,0.0,1.0,16.5,65.1,0.1,0.0,0.0,0.0,95.5,9.3,100.0,69.2,30.8,4.2,32.9,24.4,100.0,100.0,0.3,47.06,48.5,61.4,33.8,0.0
2021-01-01,KALIMANTAN BARAT,KAB. MEMPAWAH,37.0,41.2,81.0,100.0,96.7,0.0,0.0,100.0,100.0,90.0,9.7,79.5,1.2,84.4,29.7,10.2,100.0,99.4,99.3,93.6,10.1,14.3,13.6,1.2,1.5,1.4,1.3,96.9,47.0,89.3,81.9,77.4,50.0,19.0,70.3,90.5,89.5,89.7,99.4,100.0,13.5,10.0,1.0,3.8,33.9,1.6,0.3,1.5,36.6,89.4,14.2,96.7,69.8,30.2,9.3,57.9,35.3,14.3,28.6,13.3,47.06,88.2,81.7,57.2,10.4
2021-01-01,KALIMANTAN BARAT,KAB. SANGGAU,100.0,38.3,100.0,100.0,100.0,1.0,1.0,87.8,87.4,44.5,73.8,75.9,0.3,42.3,19.7,0.9,63.5,84.6,95.8,85.0,100.0,100.0,15.6,9.4,9.4,0.0,0.0,65.7,100.0,85.5,16.8,1.4,0.9,2.0,58.0,69.1,67.8,68.0,84.6,100.0,65.4,12.0,3.0,5.4,14.5,0.6,0.6,0.0,0.2,0.0,0.0,100.0,60.3,39.7,5.8,39.4,7.9,100.0,0.0,1.3,47.06,54.5,66.1,44.2,3.0
2021-01-01,KALIMANTAN BARAT,KAB. KETAPANG,63.0,35.5,100.0,100.0,58.9,0.0,0.0,82.6,76.2,58.2,22.5,66.1,0.1,19.2,5.0,2.6,28.1,79.4,89.5,69.5,15.9,17.4,16.8,1.6,1.8,1.8,1.4,55.9,100.0,69.1,44.3,23.9,5.6,7.7,37.3,67.5,65.3,65.8,76.6,100.0,15.0,13.0,3.0,1.0,4.1,0.0,0.0,0.0,0.0,1.0,3.9,58.9,65.6,34.4,7.3,34.7,21.8,75.0,25.0,15.3,47.06,42.7,59.0,47.0,3.4
